"ID","time","name","weights alpha","weights beta","model A","model B","model C","alpha","beta","mode","use MBW","plus lora","custum name","save setting","use ID"
70,2023.05.05 10.42.38,cartoonish_v1 + (darkSushiMixMix_brighterPruned -  v1-5-pruned) x 0.25,,,07f029f6d1,099e07547a,1a189f0be6,0.25,0.25,Add difference:A+(B-C)*alpha,False,,,[],,normal,
71,2023.05.05 10.42.50,cartoonish_v1 + (darkSushiMixMix_brighterPruned -  v1-5-pruned) x 0.5,,,07f029f6d1,099e07547a,1a189f0be6,0.5,0.25,Add difference:A+(B-C)*alpha,False,,,[],,normal,
72,2023.05.05 10.43.03,cartoonish_v1 + (darkSushiMixMix_brighterPruned -  v1-5-pruned) x 0.75,,,07f029f6d1,099e07547a,1a189f0be6,0.75,0.25,Add difference:A+(B-C)*alpha,False,,,[],,normal,
73,2023.06.06 19.39.38,realisticVisionV20_v20 x 0.5 + darkSushiMixMix_brighterPruned x 0.5,,,e6415c4892,099e07547a,,0.5,0.25,Weight sum:A*(1-alpha)+B*alpha,False,,,[],"IN00,IN01,:IN00,IN01",normal,
74,2023.06.06 19.40.24,realisticVisionV20_v20 x 0.5 + darkSushiMixMix_brighterPruned x 0.5,,,e6415c4892,099e07547a,,0.5,0.25,Weight sum:A*(1-alpha)+B*alpha,False,,,[],"OUT05::1,:OUT05::1",normal,
75,2023.06.06 19.40.37,realisticVisionV20_v20 x 0.5 + darkSushiMixMix_brighterPruned x 0.5,,,e6415c4892,099e07547a,,0.5,0.25,Weight sum:A*(1-alpha)+B*alpha,False,,,[],"OUT05:layers:1,:OUT05:layers:1",normal,
76,2023.06.06 19.40.50,realisticVisionV20_v20 x 0.5 + darkSushiMixMix_brighterPruned x 0.5,,,e6415c4892,099e07547a,,0.5,0.25,Weight sum:A*(1-alpha)+B*alpha,False,,,[],"OUT05:attn1:1,:OUT05:attn1:1",normal,
77,2023.06.06 19.41.04,realisticVisionV20_v20 x 0.5 + darkSushiMixMix_brighterPruned x 0.5,,,e6415c4892,099e07547a,,0.5,0.25,Weight sum:A*(1-alpha)+B*alpha,False,,,[],"OUT05:attn2:1,:OUT05:attn2:1",normal,
78,2023.06.06 19.41.18,realisticVisionV20_v20 x 0.5 + darkSushiMixMix_brighterPruned x 0.5,,,e6415c4892,099e07547a,,0.5,0.25,Weight sum:A*(1-alpha)+B*alpha,False,,,[],"OUT05:ff.net:1,:OUT05:ff.net:1",normal,
79,2023.06.06 19.41.31,realisticVisionV20_v20 x 0.5 + darkSushiMixMix_brighterPruned x 0.5,,,e6415c4892,099e07547a,,0.5,0.25,Weight sum:A*(1-alpha)+B*alpha,False,,,[],"OUT05::1,IN00::OUT05::1",normal,
80,2023.06.06 19.41.43,realisticVisionV20_v20 x 0.5 + darkSushiMixMix_brighterPruned x 0.5,,,e6415c4892,099e07547a,,0.5,0.25,Weight sum:A*(1-alpha)+B*alpha,False,,,[],"OUT05:layers:1,IN00::OUT05:layers:1",normal,
81,2023.06.06 19.41.56,realisticVisionV20_v20 x 0.5 + darkSushiMixMix_brighterPruned x 0.5,,,e6415c4892,099e07547a,,0.5,0.25,Weight sum:A*(1-alpha)+B*alpha,False,,,[],"OUT05:attn1:1,IN00::OUT05:attn1:1",normal,
82,2023.06.06 19.42.08,realisticVisionV20_v20 x 0.5 + darkSushiMixMix_brighterPruned x 0.5,,,e6415c4892,099e07547a,,0.5,0.25,Weight sum:A*(1-alpha)+B*alpha,False,,,[],"OUT05:attn2:1,IN00::OUT05:attn2:1",normal,
83,2023.06.06 19.42.20,realisticVisionV20_v20 x 0.5 + darkSushiMixMix_brighterPruned x 0.5,,,e6415c4892,099e07547a,,0.5,0.25,Weight sum:A*(1-alpha)+B*alpha,False,,,[],"OUT05:ff.net:1,IN00::OUT05:ff.net:1",normal,
84,2023.06.06 19.42.33,realisticVisionV20_v20 x 0.5 + darkSushiMixMix_brighterPruned x 0.5,,,e6415c4892,099e07547a,,0.5,0.25,Weight sum:A*(1-alpha)+B*alpha,False,,,[],"OUT05::1,IN01::OUT05::1",normal,
